fecha;autor;tweet
2021-02-18 22:37:31;CorpLasCondes;@Caro15178782 @FrannJv @LavinJoaquin Hola Caro, no cambió el calendario. Las personas con enfermedades crónicas ser… https://t.co/MGSqRAwoyM
2021-02-18 22:30:05;Marianapennab;@cayoya2006 @tatipennab @Muni_LasCondes @LavinJoaquin Poda de ramas que están sobre el techo de la casa...🤦🏻‍♀️
2021-02-18 22:29:27;Caro15178782;@FrannJv @LavinJoaquin @CorpLasCondes Estimados según el calendario las personas con enfermedades crónicas se vacun… https://t.co/VJJsRn8LGG
2021-02-18 22:29:23;Marianapennab;@josiecatdoll @tatipennab @Muni_LasCondes @LavinJoaquin Poda de ramas que dan al techo de la casa..🤦🏻‍♀️
2021-02-18 22:28:57;Marianapennab;@MatayaNatalia @tatipennab @Muni_LasCondes @LavinJoaquin Poda de ramas que dan al techo de la casa...🤦🏻‍♀️
2021-02-18 22:28:55;Verovelasco;"@carreragonzalo @LavinJoaquin Gonzalo no sea injusto, Lavín ha tenido muchas ""ocurrencias mediáticas"",  como olvida… https://t.co/lpEHJVJuqC"
2021-02-18 22:28:31;Marianapennab;@sofiaret @tatipennab @Muni_LasCondes @LavinJoaquin Poda de ramas que dan al techo de la casa 🤦🏻‍♀️
2021-02-18 22:28:00;Marianapennab;@el0nda @tatipennab @Muni_LasCondes @LavinJoaquin Ramas del árbol que dan al techo de la casa .... 🤦🏻‍♀️
2021-02-18 22:27:40;LoreCvitanic;@sandonaegui @LavinJoaquin @Muni_LasCondes @senado ¿Y al yerno, lo va a dejar afuera?
2021-02-18 22:27:10;AWEONITA;@PafitaYanez @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla @ChileLibre4… https://t.co/839n5Kc3H0
2021-02-18 22:25:57;AWEONITA;@Ainhoa20222 @venus_2121 @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla… https://t.co/naK9BcLMGU
2021-02-18 22:24:44;VB2106;@LavinJoaquin Alcalde van a poner puestos para pagar el permiso de circulación o solo por internet? Gracias
2021-02-18 22:23:38;mieville_7;@LavinJoaquin estimado alcalde, cuál es la página para poder arrendar las canchas de tenis del parque araucano?
2021-02-18 22:22:05;AWEONITA;@PafitaYanez @venus_2121 @nancho68 @PcLasCondes @LavinJoaquin @Muni_LasCondes @EPInforma @amacasqui @cotecotilla… https://t.co/gTm9ZO6wpE
