fecha;autor;tweet
2021-02-17 18:38:53;Romer1Isabel;@carreragonzalo En todas partes hay jóvenes fumando marihuana! En la Playa , en la calle, en plazas. Sacan su papel… https://t.co/bYGlmODRyh
2021-02-17 18:30:58;Dosocmaria;@carreragonzalo No se ve nada
2021-02-17 18:26:40;presidentewea;"@catralapulido @carreragonzalo Claramente el diseño gráfico es una herramienta del marxismo cultural.
LOS PATRIOTAS… https://t.co/7tEGUUA2ee"
2021-02-17 18:26:12;jagaggero;@catralapulido @milton10086672 @carreragonzalo La aprobó el general amigo que tiene?
2021-02-17 18:25:45;nc_nacor;@cbofillr @carreragonzalo Esa es actitud!
2021-02-17 18:22:25;LorennaAran;@carreragonzalo @melnicksergio Hoy llamaron por teléfono para una encuesta ¿ Si las elecciones de Alcalde en Las Co… https://t.co/wcwuCGfrco
2021-02-17 18:05:34;bcastil32667233;@ValeAriasS7 @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga @carreragonzalo… https://t.co/PgXTePMQqI
2021-02-17 18:01:55;AlonsoSplash;@catralapulido @carreragonzalo Facha culia ni un brillo andai colgando de los cocos de kast
2021-02-17 17:51:37;rodlifecl;@catralapulido @carreragonzalo JAJAJAJAAJAJAJAJAJAJ
2021-02-17 17:33:08;mauro_vv;@catralapulido @carreragonzalo Tienes menos carisma que un codo y hablas de cultura? Como actriz fuiste malita y co… https://t.co/EwurzBqorn
2021-02-17 17:30:20;rossanablanco;@carreragonzalo https://t.co/pC2enZTp5m
2021-02-17 17:17:32;SirAleTzus;@alberto84139028 @IavinJoaquin @carreragonzalo @PLRchile @evopoli @RNchile @udipopular @joseantoniokas… https://t.co/CZx1jIdIQm
2021-02-17 17:14:42;Iruz_Droguett;"@catralapulido @carreragonzalo Jajajajajajajajajajajajajaaj najajajanjajajaja es una broma?
Jajajajajajaja
PAYASAAAAA 🤡🤡🤡🤡🤡"
2021-02-17 17:10:59;GPeperz;@carreragonzalo @Verovelasco @catralapulido @melnicksergio @vanessakaiser22 No creo que esta actriz sea una buena carta pero bueno, ya está
2021-02-17 17:06:32;CholCholSoy;@ArturoR00446420 @carreragonzalo Yo estoy convencido. De la Carrera Alcalde !
2021-02-17 16:57:51;ValeAriasS7;@Thebigreset1 @DemcrataRepubl1 @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga… https://t.co/xBoqfcLmpN
2021-02-17 16:56:53;Thebigreset1;@ValeAriasS7 @DemcrataRepubl1 @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga… https://t.co/CRy0NvH4Dm
2021-02-17 16:55:45;Thebigreset1;@ValeAriasS7 @DraMLCordero @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga @carreragonzalo… https://t.co/gOTRKqCoOQ
2021-02-17 16:53:16;PPinochetista;@carreragonzalo y @cristian_arayal parten con una base importante que es ser conocidos por sus comunidades. Sin dud… https://t.co/arYtlxlURu
2021-02-17 16:53:02;ValeAriasS7;@Vichikuma @DraMLCordero @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga @carreragonzalo… https://t.co/VZFBNCKX3E
2021-02-17 16:52:10;Vichikuma;@ValeAriasS7 @DraMLCordero @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga @carreragonzalo… https://t.co/Mxhv4z9gHh
2021-02-17 16:49:43;fabbbb771;@catralapulido @carreragonzalo Cultura chupistica ajajajajaja
2021-02-17 16:39:46;Boris_sant7;@catralapulido @carreragonzalo 💩💩🤡🤡
2021-02-17 16:29:05;vero68137;@ReneMValenzuel1 @catralapulido Respuesta seria....JAMÁS! Es una loca de patio. Otra Jiles, pero de la derecha?.No… https://t.co/0y3pwsSibj
2021-02-17 16:28:19;Benjamin217R;@catralapulido @carreragonzalo 🤢🤮🤢🤮🤢🤮🤢
2021-02-17 16:21:37;rodolfopereze;@ValeAriasS7 @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga @carreragonzalo… https://t.co/aRhD8LiaoB
2021-02-17 16:21:18;ValeAriasS7;@rodolfopereze @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga @carreragonzalo… https://t.co/xv6gdZBu8N
2021-02-17 16:20:24;rodolfopereze;@ValeAriasS7 @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga @carreragonzalo… https://t.co/elgILcXNWC
2021-02-17 16:06:36;caniullan;@catralapulido @carreragonzalo Vamos Indomable !!!! 👍👍👍👍👍
2021-02-17 16:04:53;Gumerci26988881;@catralapulido @carreragonzalo @catralapulido noooo queremos que Chile cambie para mejor, no para que  siga mas cag… https://t.co/gNjq4GXqGi
2021-02-17 16:02:47;koyamdomo;@catralapulido @carreragonzalo Llegó super woman s salvar la cultura.....estamos cagad@s
2021-02-17 16:02:19;alberto84139028;"@IavinJoaquin
@carreragonzalo
@PLRchile
@evopoli
@RNchile
@udipopular
#Patriotas
#SoyDel22 
@joseantoniokas… https://t.co/pyQiz0HgMR"
2021-02-17 15:49:34;alberto84139028;"Por ¿Quién votarías en la elección Municipal de Las Condes?

Por favor votar, compartir y dar me gusta.-… https://t.co/qpKUNYJJtm"
2021-02-17 15:47:11;Nuevetreslab;@catralapulido @carreragonzalo + cultura de violacion, de hijos agresores, de creer estar por sobre la ley. Cero cu… https://t.co/8P7tYFeU9z
2021-02-17 15:42:11;lmarxwell;@catralapulido @carreragonzalo Jajajaja... Estás falta de lucas que se te ocurrió postular?... Das vergüenza ajena
2021-02-17 15:41:13;TauOmega3;@LpontD @jusevar25 @FafuC @WenaChile @ClaudioFranzua @PordenoneBudoia @Carmen_E_muller @entransito7 @Lafacha8… https://t.co/BcJldve0r3
2021-02-17 15:40:21;rafael25201994;@catralapulido @carreragonzalo 🤡🤡🤡🤡🤡🤡🤡 https://t.co/tsevzC8hcP
2021-02-17 15:39:50;ValeAriasS7;@DemcrataRepubl1 @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga @carreragonzalo… https://t.co/7ys0W9Qo9Q
2021-02-17 15:38:56;DemcrataRepubl1;@ValeAriasS7 @LavinJoaquin @catalinaparot @carolinacotapos @LC_Decom @Panchoundurraga @carreragonzalo… https://t.co/AQAgRceRkM
2021-02-17 15:38:40;Felipe_Zavala_G;Recuerden Votar por opción 1 @carreragonzalo, en encuesta telefónica para vecinos de las condes.  🚀🚀🚀
2021-02-17 15:36:21;DiegoAgurtobe;@Giovannibolaina @catralapulido @carreragonzalo No sabe donde quedan
2021-02-17 15:35:05;DiegoAgurtobe;@catralapulido @carreragonzalo Cultura del odio...
2021-02-17 15:31:00;RaggioJorge;@kim3_3e @carreragonzalo @melnicksergio @joseantoniokast Alguien q comparte directorio principalmente con un person… https://t.co/2DgewjvmQ9
2021-02-17 15:30:19;Naibaf95;@catralapulido @carreragonzalo El chiste se cuenta solo.🤡 https://t.co/RBfysyvtRu
2021-02-17 15:29:59;PorChile4;@carreragonzalo @FMConquistador Excelente! Estaré atenta, cariños.
2021-02-17 15:28:50;Giovannibolaina;@catralapulido @carreragonzalo Y porque no por San Joaquín o puente alto?
2021-02-17 15:28:18;PamelaAceleste1;@catralapulido @carreragonzalo 🤮
