fecha;autor;tweet
2021-02-18 23:14:36;ClaudioFranzua;@allamand .Hasta cuando los.@jesuitaschile .Seguirán lucrando con los Inmigrantes colectivos chavistas. Comunista d… https://t.co/UE5fHQiz6y
2021-02-18 23:12:11;NaveganteItali1;cruda y real expresión del cagazo en que estamos....@AXELKAISER @sebastianpinera @GobiernodeChile @joseantoniokast… https://t.co/iOosT9AT3H
2021-02-18 23:12:11;NaveganteItali1;Paradoja o falta de capacidades y voluntad política para atender obligaciones ineludibles?...@joseantoniokast… https://t.co/jVBN4n91qF
2021-02-18 23:12:10;NaveganteItali1;qué duda cabe...@mindefchile @joseantoniokast @c_fica1 https://t.co/QhqXEAHRCd
2021-02-18 23:11:45;luthierano;@PordenoneBudoia @FafuC @Lafacha8 @CesarAlcntara10 @jusevar25 @AtienzaCortes @MaTeres72775470 @kathymoragas… https://t.co/67IRIuC0Yh
2021-02-18 23:09:33;jusevar25;@ClaudioFranzua @gonzalez_ulrich @LpontD @Lafacha8 @Margiopaz @Carmen_E_muller @PordenoneBudoia @los4diablos12… https://t.co/D0daViq7Sc
2021-02-18 23:05:17;KarleSabin;"https://t.co/M4vKk2wYSe
@camilocammas  @arroyomatteucc1   @AldoDuqueSantos   @joseantoniokast  @abogadomeza  @Empanada74  @AbogadosVerdad"
2021-02-18 23:05:11;Dankufi;@PLRchile @joseantoniokast @RojoEdwards @chilevision Bien Rojo, clarito en su forma de hablar y expresar lo que pie… https://t.co/YK7TTvIomI
2021-02-18 23:03:50;ramonre57054757;@joseantoniokast @JuanAriztiaC Otro a la secta 😂😂
2021-02-18 23:03:21;Eric49Es;@joseantoniokast @JuanAriztiaC Vamos José Antonio!!! Cuenta conmigo.
2021-02-18 23:01:30;ClaudioFranzua;@RodrigoDelgadoM .Palo blanco.Siguen los Narcoterrorista asesinos.Robando.Matando. Expropiando impunemente.Y UD. Go… https://t.co/Obnk2okgDk
2021-02-18 23:00:44;michel778899;@Sr_Churchill @PaulD3D @joseantoniokast O se cambió de nombre ha a estar atento.
2021-02-18 22:59:44;carolina_rzr;@Sr_Churchill @iklare @PaulD3D @joseantoniokast Parece que no se puede denunciar cerró momentáneamente su cuenta pa… https://t.co/IsizttRPcN
2021-02-18 22:56:59;carolina_rzr;@Sr_Churchill @iklare @PaulD3D @joseantoniokast Chuuuu apruebo promedio, aparece usuario no encontrado, pero igual denunció !!
2021-02-18 22:53:46;LpontD;@los4diablos12 @PordenoneBudoia @FafuC @Lafacha8 @CesarAlcntara10 @jusevar25 @AtienzaCortes @MaTeres72775470… https://t.co/BIy7yONAQI
2021-02-18 22:53:23;ceisari27;@Sr_Churchill @PaulD3D @joseantoniokast Ojalá la @PDI_CHILE pueda rastrear sus datos para lograr darle un susto de… https://t.co/2hvfUQHzGH
2021-02-18 22:52:54;AleMore33178666;@PLRchile @joseantoniokast @RojoEdwards @chilevision Ese weon tiene menos brillo que chasquilla de koreano
2021-02-18 22:52:04;mrbuenaonda;@joseantoniokast La cuestion es, desde donde se mira el problema .............
2021-02-18 22:51:47;Cachoescalona1;@Sr_Churchill @PaulD3D @joseantoniokast Ya la bajo el gallina.
2021-02-18 22:51:38;los4diablos12;@PordenoneBudoia @FafuC @Lafacha8 @CesarAlcntara10 @jusevar25 @AtienzaCortes @MaTeres72775470 @kathymoragas… https://t.co/jZzRSLXA65
2021-02-18 22:50:42;sololasol;@Sr_Churchill @PaulD3D @joseantoniokast Me sale usuario no encontrado 🤷‍♀️🤷‍♀️
2021-02-18 22:49:28;DoriselDiaz;@Lilileiton1 @LadyAgathaC @joseantoniokast @tere_marinovic Así es
2021-02-18 22:47:13;Rosario77488957;@Sr_Churchill @PaulD3D @joseantoniokast Ya no esta! 👍
2021-02-18 22:46:22;maurovrios;@DrRightMB @dany62476726 @joseantoniokast @melnicksergio @Jou_Kaiser De ser cierto esto,es muy grave. ¿alguien de l… https://t.co/vAqnsQDxTx
2021-02-18 22:46:22;Jaime_becerrag;¿Estamos viendo el nacimiento de una dictadura ideológica? De ser esto cierto se vienen tiempos oscuros.… https://t.co/D4226SS8ZE
