fecha;autor;tweet
2021-02-18 23:31:09;marledietrich;@danieljadue @AnaMariaGazmuri Bieeeeeen 🎉
2021-02-18 23:28:43;RodriguezManuel;"@lramirez1972 @danieljadue @Naid_28 por suerte que te autodenominas ""imparcial""..."
2021-02-18 23:28:20;Maryangel1965;@danieljadue Usted está incluido en los 7 pacientes?
2021-02-18 23:27:39;ClaudioAlerce;Estaremos atentos al más completo reportaje de los canales @canal13 @T13 @chilevision @CHVNoticitascl @CHVNoticias… https://t.co/IYEIzmBmBG
2021-02-18 23:26:13;Maryangel1965;@NikolayB_ @Reflex_Lib @danieljadue @pattytaxista Carabineros es una institución con mucho prestigio no sólo en Chi… https://t.co/z9eWELfHHy
2021-02-18 23:25:40;erodriguez_cl;@chileanenchile @ShahdeIran @danieljadue @colmedchile No, chino (vacunas)
2021-02-18 23:25:19;patmontero;Excelente presi @danieljadue https://t.co/gUdjVpgmuR
2021-02-18 23:24:23;Paulino40293734;@danieljadue a ti que te gusta recordar fechas, en un dia como hoy en 2014 se inició la Revolución Ucraniana que te… https://t.co/h3VCA0qKXt
2021-02-18 23:22:24;lardioindignad1;@danieljadue La ideología de la DC es la traición, y las cúpulas que dirigen ese partido, son los legítimos herederos de Judas.
2021-02-18 23:22:05;Vivi69281663;👏👏👏👏 https://t.co/7hm5aFW9Bh
2021-02-18 23:22:05;janobuin;@danieljadue Otra razón para votar por ti para presidente @danieljadue
2021-02-18 23:21:32;jumode60;#JaduePresidente https://t.co/u2wXVdmfMw
2021-02-18 23:21:15;carrue1970;@Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor ...hasta ahora se han saltado la f… https://t.co/dVOMyhqS4z
2021-02-18 23:20:51;FloresHugoe;@Osopard02645558 @danieljadue Y donde queda el Bien Público llamado calle. Financiado por los ciudadanos . La utili… https://t.co/1FQ6HWIF5S
2021-02-18 23:19:30;Patrici40922023;@danieljadue Y seguro en el gobierno que usted apoyó (@mbachelet) era distinta la situación?
2021-02-18 23:18:50;Esarbica1;@ceridread @julve_a @danieljadue Cállate cxnchatumxdre dejen de huevear a Jadue y sean dignos fachitos udiotas, no… https://t.co/i54fihTkki
2021-02-18 23:18:24;fent3619;@danieljadue Te felicito superaste una mano ya de pacientes.... cuando llegues a los 15 millones nos avisas porfa
2021-02-18 23:17:31;_Nunc_et_Semper;@memo5fire @Cperezcarvallo @Marceloleiva @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor https://t.co/vdjp4QN9YB
2021-02-18 23:16:49;shamanenlaurbe;@danieljadue Eso es un control de stock,no hay conclusiones de efectividad terapéutica!
2021-02-18 23:16:40;Perejil48196916;@Kaizer_cl @marg9173 @danieljadue Que dice la contraloria de esto , este gallo se pasó por buena parte al servicio… https://t.co/ikgpGa0EcM
2021-02-18 23:15:13;sweet_tory1;"@danieljadue Que bueno que aclare que está.en etapa de investigación y no una panacea. 
Que pasó con el Interferon cubano??"
2021-02-18 23:15:07;JavelinChile;@danieljadue @lesliona : algo que decir ???
2021-02-18 23:14:32;what260916;@Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor Callate, tontorrona
2021-02-18 23:13:53;letylagos13;@danieljadue EXCELENTE Presidente, (perdón), Alcalde!!! 🤭😉
2021-02-18 23:13:18;Esarbica1;@MarcelinMarshal @PanchaRica @danieljadue @arturozunigaj Esos payasos deberán repartirse las migajas jajajaja nadie… https://t.co/vCrPDVm5qo
2021-02-18 23:13:02;jerez_carvajal;super relevante, esto debe ser primera prioridad para un decerebrado https://t.co/2CJ4hhWg5Z
2021-02-18 23:12:44;Asecomplementa;@ceridread @julve_a @danieljadue El pavimento es problema del municipio ?...no sabia yo
2021-02-18 23:11:57;Esarbica1;@danieljadue Grande Jadueeeeeeee
2021-02-18 23:10:45;sibarita_combat;@danieljadue Deberías estar PRESO SINVERGÜENZA!!!
2021-02-18 23:09:04;jalanov;"@danieljadue No dice nada sobre la ""eficacia"" demostrada de este medicamento. El informe solo da cuenta que el mism… https://t.co/KM6cjQ0u46"
2021-02-18 23:08:41;PercySantiago12;@danieljadue La génesis de la DC es antipueblo, nació con la alianza para el progreso, el miedo del avance de las f… https://t.co/gngwcUqj71
2021-02-18 23:08:29;roberxaviles;@danieljadue Ese es mi presidente. !!!
2021-02-18 23:08:29;RFelipeMC;@Latrodectus0 @Cperezcarvallo @baradit @BSepulvedaHales @jeannette_jara @danieljadue @mtamayor Tienen 7 vidas, así… https://t.co/vtzLLJAaOg
2021-02-18 23:08:20;agonzalezt8;@danieljadue Como no se les ocurrió antes?
2021-02-18 23:07:37;agonzalezt8;@danieljadue Excelente tratamiento Alcalde, igual que las gotitas de Maduro, salvarán al mundo del COVID-19. No com… https://t.co/z32Kywgchy
2021-02-18 23:07:30;ArandaPablo;Tomá!! https://t.co/NQd3CO7Cng
2021-02-18 23:07:01;jotagato30;@IturriagaRomina @danieljadue @lcch Lo q diga tu alcalde no tiene importancia.....el ladron persiguiendo al persecutor.
2021-02-18 23:06:39;yo_elmanuel;Ayer en #LaPintana junto a Organizaciones Sociales firmamos el convenio con @AChifarp con esto  lograremos que mile… https://t.co/Es2btExSEL
2021-02-18 23:06:31;marcetravisany;Alcalde Jadue insiste en ayudar a los enfermos. A pesar de los intentos de la burocracia por detener su iniciativa.… https://t.co/9cMsz6FNjj
