2020-09-04 15:35:16,b'RT @FeHaBla: #DestitucionHugoGutierrez \n#ChaoGutierrez\n#GutierrezAbusador\n\n#ChaoDiablo \n\nChao @Hugo_Gutierrez_ \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x80\xa6'
2020-09-04 15:35:07,b'RT @JBeaulieuM: @GobiernodeChile = cobardes \n#rechazo #jakpresidente #DestitucionHugoGutierrez'
2020-09-04 15:10:45,b'@joseantoniokast Amen ! \n#ChileNoCaer\xc3\xa1 \n#Rechazo \n#ChileUnidoRechaza \n#IzquierdaMiserable'
2020-09-04 15:09:50,b'Urge #Rechazo https://t.co/qzgZMcWJV5'
2020-09-04 15:03:42,b'RT @FeHaBla: #DestitucionHugoGutierrez \n#ChaoGutierrez\n#GutierrezAbusador\n\n#ChaoDiablo \n\nChao @Hugo_Gutierrez_ \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x80\xa6'
2020-09-04 15:03:36,b'RT @JBeaulieuM: @GobiernodeChile = cobardes \n#rechazo #jakpresidente #DestitucionHugoGutierrez https://t.co/GmMf0X43K8'
2020-09-04 13:28:48,"b'RT @ArnaldoGMM: Ok, Voila-- i will follow you.. #rechazo #RechazoGanaEnOctubre #RechazoNuevaConstitucion #UnidosParaRechazar https://t.co/g\xe2\x80\xa6'"
2020-09-04 13:13:56,b'@mbachelet #Rechazo el New World Order \xf0\x9f\x91\x8e'
2020-09-04 11:37:52,b'RT @emiliangasss: A.C.A.B\n\nall comunists are bastards! \nlet\xc2\xb4s go #Rechazo'
2020-09-04 11:37:14,"b'RT @ArnaldoGMM: Ok, Voila-- i will follow you.. #rechazo #RechazoGanaEnOctubre #RechazoNuevaConstitucion #UnidosParaRechazar https://t.co/g\xe2\x80\xa6'"
2020-09-04 05:33:00,b'RT @Pelaoqlocomics: \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1Ideas revolucionarias a todo vapor\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8Chile needs more trains\n#CamionerosverguenzaNacional #YoApoyoParoDeCamioneros #A\xe2\x80\xa6'
2020-09-04 05:32:25,"b'RT @Pelaoqlocomics: \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1No sean fomes, \xc2\xa1si es bailar nomas!\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8Chilean antifas force ppl to dance on streets\n#CamionerosSomosTodos #Camioneros\xe2\x80\xa6'"
2020-09-04 05:31:21,"b""RT @Pelaoqlocomics: \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1Delincientes, les llego su hora\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8Chile's president doesn't care about violence in Chile\n#FueraAbbot #ChileApoyaALosC\xe2\x80\xa6"""
2020-09-04 05:30:58,b'RT @Pelaoqlocomics: \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1\xc2\xbfQue paso con los metaleros?\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8We need real men again\n#CamionerosPorChile #CamionerosSomosTodos #apruebo #Rechazo #RE\xe2\x80\xa6'
2020-09-04 05:28:51,b'RT @Pelaoqlocomics: \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1\xc2\xbfQue paso con los metaleros?\n\xf0\x9f\x87\xba\xf0\x9f\x87\xb8We need real men again\n#CamionerosPorChile #CamionerosSomosTodos #apruebo #Rechazo #RE\xe2\x80\xa6'
2020-09-04 03:56:56,b'A difundir \n\n#Rechazo #RechazoCrece #RechazoSinMiedo #RechazoGanaEnOctubre #RechazoPorChile\xe2\x80\xa6 https://t.co/G1Ptxvr4R5'
2020-09-04 03:03:15,b'@GobiernodeChile = cobardes \n#rechazo #jakpresidente #DestitucionHugoGutierrez https://t.co/GmMf0X43K8'
2020-09-04 01:58:46,b'RT @male_alba: @AlejandroMery1 @FrancoxChile @becasess @SolRoCa11 @BrugginkAstrid @benjadx4 @nacionypatri4 @zaidacatalan @ceciliadcaq @nafi\xe2\x80\xa6'
2020-09-04 01:57:38,b'RT @male_alba: @AlejandroMery1 @FrancoxChile @becasess @SolRoCa11 @BrugginkAstrid @benjadx4 @nacionypatri4 @zaidacatalan @ceciliadcaq @nafi\xe2\x80\xa6'
2020-09-04 01:46:33,b'@AlejandroMery1 @FrancoxChile @becasess @SolRoCa11 @BrugginkAstrid @benjadx4 @nacionypatri4 @zaidacatalan\xe2\x80\xa6 https://t.co/lUmLJ8SbJ3'
2020-09-04 00:03:58,b'kast in live ..#Rechazo   https://t.co/3dYqYNEqfW'
2020-09-03 23:19:48,b'@DMatamala in love \xf0\x9f\xa5\xb0 #Rechazo https://t.co/hdagEm8i8l'
2020-09-03 22:33:58,b'@Country9009 @T13 PASTEL...!!!! #Rechazo'
2020-09-03 21:31:22,"b'@Francis19041877 @guigui_yo @elcapitalchile Yep, problem?\n\nu mad bro?\n\n#Rechazo'"
2020-09-03 21:29:51,"b'Ok, Voila-- i will follow you.. #rechazo #RechazoGanaEnOctubre #RechazoNuevaConstitucion #UnidosParaRechazar\xe2\x80\xa6 https://t.co/2H4hoXIii7'"
2020-09-03 19:10:59,b'@joseantoniokast Grande Mr. Kast! #Rechazo #RECHAZOCRECE #JAK2022'
2020-09-03 18:32:04,b'A.C.A.B\n\nall comunists are bastards! \nlet\xc2\xb4s go #Rechazo'
2020-09-03 18:04:07,b'RT @ELBY_ELBY: #RECHAZO  ideas nefastas #RECHAZOCRECE  #PlebiscitoInviable'
2020-09-03 17:55:15,b'RT @ELBY_ELBY: #RECHAZO  ideas nefastas #RECHAZOCRECE  #PlebiscitoInviable'
2020-09-03 17:54:15,b'RT @ELBY_ELBY: #RECHAZO  ideas nefastas #RECHAZOCRECE  #PlebiscitoInviable'
2020-09-03 17:51:30,b'#RECHAZO  ideas nefastas #RECHAZOCRECE  #PlebiscitoInviable https://t.co/hKE3dCIAxa'
2020-09-03 17:43:36,b'RT @marg9173: @Sejuela603 @Bobadillarecha1 #ChileNoTieneEstadoDeDerecho \n#RECHAZOCRECE #Rechazo \n#VivaChile \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1 \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1 \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1 \xf0\x9f\x87\xa8\xf0\x9f\x87\xb1 LIBRE \n#ElpeorCongr\xe2\x80\xa6'
2020-09-03 13:38:50,"b'Documental ""Caso Maureira"" \n#tongomaureira #EstallidoSocial #EstallidoDelictual #ConViolenciaNoHayAcuerdos\xe2\x80\xa6 https://t.co/VxuB2WWvlG'"
2020-09-03 11:39:24,b'RT @FeHaBla: #DestitucionHugoGutierrez \n#ChaoGutierrez\n#GutierrezAbusador\n\n#ChaoDiablo \n\nChao @Hugo_Gutierrez_ \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x80\xa6'
2020-09-03 11:32:53,b'RT @FeHaBla: #DestitucionHugoGutierrez \n#ChaoGutierrez\n#GutierrezAbusador\n\n#ChaoDiablo \n\nChao @Hugo_Gutierrez_ \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x80\xa6'
2020-09-03 11:27:36,b'RT @FeHaBla: #DestitucionHugoGutierrez \n#ChaoGutierrez\n#GutierrezAbusador\n\n#ChaoDiablo \n\nChao @Hugo_Gutierrez_ \xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xf0\x9f\x99\x8b\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f\xe2\x80\xa6'
